id,text,emotion_type,source
1,晚上从图书馆出来，路灯很亮但我还是觉得自己像一个人走在岛上,lonely,ai_generated
2,食堂里坐满了人，可我找不到一个能一起吃饭的人,lonely,ai_generated
3,宿舍很吵，我却突然觉得没有人真的知道我今天过得怎么样,lonely,ai_generated
4,操场上大家都三三两两地聊天，我绕了一圈又一个人回去了,lonely,ai_generated
5,下课后人群一下散开，我站在教学楼门口不知道该去找谁,lonely,ai_generated
6,手机亮了很多次，却没有一条是我真正想等的消息,lonely,ai_generated
7,今晚的校园很热闹，可我像是隔着一层玻璃看别人生活,lonely,ai_generated
8,一个人在自习室坐到闭馆，突然觉得连椅子挪动的声音都很远,lonely,ai_generated
9,大家都在说周末安排，我只是在旁边笑了一下,lonely,ai_generated
10,回宿舍的路上风有点冷，我忽然很想有人陪我走完这一段,lonely,ai_generated
11,群聊一直跳消息，可我一句也接不上,lonely,ai_generated
12,明明在同一个教室里，我却觉得自己和所有人都不在一个频道,lonely,ai_generated
13,晚上在湖边坐着，看见别人并肩走过，心里空了一块,lonely,ai_generated
14,我把今天的事想讲给谁听，翻了半天通讯录又放下了手机,lonely,ai_generated
15,宿舍灯熄了以后，我才发现自己一整天都没认真和谁说过话,lonely,ai_generated
16,从校门口回来时，人流很多，但我还是觉得自己被落在外面,lonely,ai_generated
17,今天拍了很多照片，却不知道该发给谁看,lonely,ai_generated
18,在咖啡馆坐了一下午，旁边每桌都有故事，只有我像路过的人,lonely,ai_generated
19,大家都在为小组作业讨论，我只觉得自己可有可无,lonely,ai_generated
20,走过宿舍楼下时听见笑声，突然很羡慕那种有人等的感觉,lonely,ai_generated
21,明天要考试了，我一直担心自己会突然什么都想不起来,anxious,ai_generated
22,老师说明天可能抽查汇报，我从下午开始就心里发慌,anxious,ai_generated
23,投出去的申请一直没有回复，我越等越不安,anxious,ai_generated
24,成绩还没出，我已经开始反复想最坏的结果,anxious,ai_generated
25,快轮到我上台展示了，手心一直出汗,anxious,ai_generated
26,不知道小组讨论会不会又出问题，我一整晚都放不下心,anxious,ai_generated
27,明天要和老师单独沟通，我怕自己说不清楚,anxious,ai_generated
28,手机一响我就紧张，总觉得会是什么坏消息,anxious,ai_generated
29,报名截止快到了，我还没想好要不要参加，心里很乱,anxious,ai_generated
30,走进考场前，我听见自己的心跳特别明显,anxious,ai_generated
31,同学都说不难，可我还是担心自己跟不上,anxious,ai_generated
32,明天有面试，我脑子里一直重复那些可能答不上来的问题,anxious,ai_generated
33,看到课程群里发的新通知，我突然又开始紧张,anxious,ai_generated
34,计划被打乱以后，我整个人都悬着，不知道下一步该怎么办,anxious,ai_generated
35,别人都很确定自己的方向，我越想越害怕自己选错,anxious,ai_generated
